Lambda_0.01_Vm_1_Vw_0_fVm_1_Slp_0_Cr_20_Pt_0.5_Nx_1_Ny_0_XL_4000_YL_4000_malicious_appear_time_5000_malicious_appear_interval_100_malicious_appear_num_1_malicious_appear_type_0_Method_1_Start_0_Attack_1_malicious_fake_id_0_distinct_fake_1_consider_all_TA_1_fix_field_0_use_diff_lambda_0_simulation_max_loop_50000_TA~2000~2000~600~600~e_RA_fTA~2000~2000~1200~1200~e_fRA_and_{EventList:[[,ArrivalEvent,0,0,0,]]}
seed,Mtype,time,first_true_receive,first_fake_receive,last_true_receive,last_fake_receive,first_true_broadcast,first_fake_broadcast,last_true_broadcast,last_fake_broadcast,none,true,fake,double,trueMax,fakeMax,connect,broadcast,malicious_broadcast,true_broadcast,fake_broadcast,true_trust_node,fake_trust_node,true_broadcast_node,fake_broadcast_node,RAin,RAinWoAtk,TAin,TAinTimeMean,TAinTimeStd
1,1,100000,50000,0,99990,0,50000,0,100000,0,48,37,0,0,71,0,449024,552324,0,552324,0,981,0,981,-1,0,0,987,50.6704,49.1971
2,1,100000,50000,0,99928,0,50000,0,100000,0,48,35,0,0,74,0,443673,547664,0,547664,0,971,0,971,-1,0,0,973,51.3282,51.5885
3,1,100000,50092,0,99988,0,50000,0,100000,0,46,38,0,0,67,0,460333,578821,0,578821,0,1030,0,1030,-1,0,0,1036,48.2937,50.0166
4,1,100000,50000,0,99994,0,50000,0,100000,0,71,53,0,0,74,0,474996,583053,0,583053,0,1041,0,1041,-1,0,0,1047,47.7906,46.4824
5,1,100000,50000,0,99985,0,50000,0,100000,0,47,53,0,0,61,0,477346,556908,0,556908,0,997,0,997,-1,0,0,1004,49.8504,50.8987
6,1,100000,50012,0,100000,0,50000,0,100000,0,41,44,0,0,69,0,422614,540528,0,540528,0,965,0,965,-1,0,0,969,51.6426,51.6059
7,1,100000,50008,0,99992,0,50000,0,100000,0,47,59,0,0,66,0,465722,585576,0,585576,0,1041,0,1041,-1,0,0,1048,47.7307,46.5562
8,1,100000,50027,0,99998,0,50000,0,100000,0,53,43,0,0,68,0,485026,570744,0,570744,0,1009,0,1009,-1,0,0,1010,49.3538,48.9796
9,1,100000,50000,0,99984,0,50000,0,100000,0,38,60,0,0,72,0,506587,572527,0,572527,0,1019,0,1019,-1,0,0,1029,48.6167,49.2748
10,1,100000,50000,0,99991,0,50000,0,100000,0,63,51,0,0,69,0,433957,551968,0,551968,0,984,0,984,-1,0,0,991,50.4818,48.4904
